0.830166  0.999993  0.00149637  448050
0.854431  1.0001  0.00142919  488660
0.879368  1.00052  0.00137504  531026
0.905036  1.00215  0.00131536  580734
0.931489  0.997904  0.00125466  632906
0.958703  0.999799  0.0012036  689679
0.986693  1.0011  0.00115598  751317
1.01548  1.00022  0.00110608  818678
1.04515  0.999039  0.00105547  894663
1.07569  0.999433  0.00101209  973917
1.10708  0.999192  0.000971191  1.06037e+06
1.13939  0.998608  0.000928392  1.15769e+06
1.17268  0.999305  0.000889216  1.26338e+06
1.20695  1.00038  0.000852883  1.37661e+06
1.24219  1.00151  0.000817783  1.49821e+06
1.27845  1.00071  0.000783676  1.63627e+06
1.31579  1.00121  0.000750745  1.78213e+06
1.35423  1.00099  0.000718186  1.94481e+06
1.39377  0.999955  0.000686767  2.11744e+06
1.43446  0.999937  0.000657921  2.30996e+06
1.47635  0.999561  0.000629462  2.51754e+06
1.51946  0.998902  0.000602397  2.74558e+06
1.56384  1.00047  0.000578706  2.99355e+06
1.6095  0.999325  0.000553067  3.26105e+06
1.6565  1.00097  0.000530264  3.55934e+06
1.70488  0.999081  0.000507481  3.87617e+06
1.75465  0.999234  0.000486039  4.22671e+06
1.80591  1.0003  0.000466138  4.61248e+06
1.85866  0.999841  0.000446  5.02387e+06
1.91293  0.99999  0.000427644  5.4765e+06
1.96879  0.999685  0.000409261  5.97333e+06
2.02628  1.00004  0.000392191  6.50807e+06
2.08545  0.99939  0.00037499  7.10042e+06
2.14636  1.00006  0.000359657  7.7371e+06
2.20904  1.00004  0.000344193  8.43639e+06
2.27355  1.00015  0.000329772  9.19562e+06
2.33993  1  0.000315826  1.00248e+07
2.40826  1.00002  0.000302511  1.09308e+07
2.47859  1.00006  0.000289636  1.19167e+07
2.55098  1.00011  0.000277327  1.29909e+07
2.62547  0.999492  0.000265579  1.4162e+07
2.70215  1.00016  0.000254608  1.54421e+07
2.78105  1.00032  0.000243798  1.68283e+07
2.86226  0.999734  0.000233318  1.83521e+07
2.94585  0.999735  0.000223498  2.00053e+07
3.03188  0.999924  0.000214101  2.18099e+07
3.12042  0.99982  0.000205044  2.37799e+07
3.21155  1.00017  0.000196408  2.59189e+07
3.30533  0.999975  0.000188095  2.82597e+07
3.40185  1.00035  0.000180264  3.08065e+07
3.5012  1.00018  0.000172593  3.35895e+07
3.60345  1.00003  0.000165317  3.66174e+07
3.70868  0.999965  0.000158276  3.9917e+07
3.81697  0.999991  0.000151613  4.35151e+07
3.92844  0.999902  0.000145167  4.74479e+07
4.04316  1  0.000139055  5.17211e+07
4.16123  1.00001  0.000133209  5.63862e+07
4.28275  1.00014  0.000127526  6.14762e+07
4.40782  0.999977  0.000122129  6.70189e+07
4.53655  0.999949  0.000116962  7.30641e+07
4.66903  1.00004  0.000112042  7.96521e+07
4.80537  1.00001  0.000107327  8.68306e+07
4.9457  0.999969  0.000102786  9.46695e+07
5.09013  1.00019  9.84633e-05  1.03205e+08
5.23877  1.00013  9.42903e-05  1.12513e+08
5.39176  1  9.02888e-05  1.22664e+08
5.54921  0.999905  8.64682e-05  1.33722e+08
5.71126  0.999916  8.28162e-05  1.45783e+08
5.87805  1.00004  7.93153e-05  1.58942e+08
6.04971  0.99995  7.59745e-05  1.73263e+08
